3 3
13 36 153
35 37 706
23 42 236
0 38 69
5 22 507
7 32 340
22 52 892
5 14 208
10 41 246
4 32 465
55 58 284
49 54 555
4 39 118
43 63 634
23 52 157
4 11 511
9 60 257
3 23 438
1 10 593
29 42 171
29 33 595
36 38 240
22 57 194
51 64 71
4 57 3
18 30 81
44 64 19
6 32 765
38 63 197
35 44 211
32 51 450
10 21 350
20 24 516
32 60 254
6 58 626
22 49 584
48 56 374
18 22 892
16 56 821
23 64 167
9 51 207
1 29 576
17 49 460
8 17 253
33 56 191
14 51 731
40 64 989
10 38 721
3 20 697
3 46 872
20 66 337
3 31 22
19 37 798
19 65 418
33 51 973
33 50 807
23 54 545
35 43 345
8 20 406
14 58 553
33 48 836
50 63 748
14 53 175
49 50 394
1 9 770
19 56 346
36 43 96
8 25 43
40 45 933
9 12 630
6 12 363
6 8 647
3 36 770
11 29 812
6 45 353
28 52 185
21 42 793
16 52 73
4 37 989
16 32 194
3 16 196
8 22 665
14 39 355
31 44 629
18 27 931
26 31 522
11 14 31
45 65 884
13 46 559
24 60 664
4 40 436
3 50 626
49 60 136
34 39 94
43 49 570
12 31 165
24 25 521
15 49 71
6 14 750
17 59 345
57 65 14
20 22 715
12 43 229
3 41 103
3 52 367
60 66 879
17 24 777
52 65 605
11 19 677
7 25 51
22 30 77
28 38 853
13 37 50
7 53 960
20 33 350
0 56 283
6 46 107
5 42 983
5 27 545
49 59 790
24 56 201
14 32 521
10 49 136
28 36 236
2 40 111
21 52 860
10 42 124
33 49 20
36 66 33
22 50 589
6 56 307
23 31 308
28 55 513
9 54 527
57 66 268
14 18 689
58 66 880
4 13 181
63 64 536
44 50 143
13 18 624
5 40 565
16 23 518
11 16 612
37 40 331
17 45 705
4 65 733
21 51 615
7 22 768
1 57 12
40 42 368
27 46 415
52 59 117
43 51 158
16 37 749
18 32 290
24 41 367
3 59 192
25 27 327
35 64 13
43 52 948
37 52 777
42 63 132
27 48 171
4 53 90
19 26 471
39 41 305
12 36 428
41 46 114
49 62 148
45 60 525
1 47 965
19 35 859
17 28 244
22 35 731
40 57 583
4 25 829
42 59 790
11 25 316
3 6 456
10 37 942
21 31 615
9 50 985
0 57 732
29 38 523
22 28 557
34 38 833
14 29 710
0 4 205
15 27 595
5 66 836
2 18 154
16 19 278
2 64 121
24 36 852
1 33 684
0 31 277
30 64 598
35 41 735
52 62 740
9 36 795
21 37 167
16 54 536
3 14 375
51 56 267
47 48 180
17 26 682
59 60 403
26 27 31
13 27 13
34 61 934
20 45 74
48 59 517
41 57 568
29 47 48
18 19 327
10 13 108
1 21 880
28 47 97
42 54 2
42 55 478
45 49 831
4 26 123
17 55 263
43 62 787
28 29 9
10 32 753
48 49 417
5 6 552
25 34 794
33 66 481
19 64 723
10 36 520
1 8 769
12 42 40
43 66 644
18 37 12
5 29 169
5 24 402
0 46 521
6 23 330
28 66 129
19 23 680
17 37 338
50 62 299
58 62 681
9 62 808
5 18 379
44 57 624
10 26 51
39 59 705
52 64 279
31 51 330
45 58 878
12 50 675
1 38 717
53 60 800
40 47 373
15 40 710
13 32 41
19 41 346
4 48 516
3 56 996
33 42 620
49 52 647
4 7 382
0 11 878
2 5 174
35 58 830
15 64 265
37 60 986
0 9 325
13 53 888
19 48 786
9 22 232
16 28 392
14 44 259
4 46 801
2 23 108
27 59 680
28 39 563
36 42 827
39 55 201
15 46 860
12 28 910
21 22 324
25 36 84
31 33 123
11 49 873
6 53 273
42 61 884
11 28 852
21 41 812
13 55 665
25 48 698
37 57 691
0 55 880
39 42 395
10 29 686
9 23 930
47 63 901
23 27 656
13 20 695
24 46 599
8 18 41
10 65 141
27 30 455
17 38 817
10 24 664
26 37 504
21 55 865
8 23 133
20 38 770
34 43 199
41 44 801
31 42 514
19 44 266
19 38 484
21 26 22
1 35 109
0 37 872
2 55 875
46 59 679
25 59 154
32 49 958
35 60 318
6 13 64
30 66 519
20 40 233
14 20 293
24 47 889
6 52 730
16 33 298
8 15 837
16 57 944
29 43 310
2 7 226
12 21 98
24 62 336
15 31 352
12 48 873
30 59 358
10 20 156
5 63 1000
2 27 72
25 29 281
26 54 335
21 53 922
34 51 673
12 53 15
11 22 193
11 50 328
15 36 700
45 57 862
12 55 399
26 43 898
2 8 469
22 27 848
51 61 138
15 39 8
9 56 499
31 52 601
25 42 432
23 25 178
48 52 701
40 60 339
23 43 868
41 53 701
10 58 430
35 36 254
3 39 316
24 31 897
10 46 281
47 57 164
11 27 936
27 38 860
2 12 684
27 44 137
22 26 980
14 57 34
10 52 498
51 52 371
27 45 373
13 21 666
2 41 474
13 59 790
44 51 244
10 39 256
57 58 365
11 13 280
2 13 894
4 43 271
18 56 983
22 25 90
31 60 384
16 45 65
17 32 247
24 32 547
47 59 72
26 40 797
11 42 860
34 47 376
61 64 944
20 31 393
1 39 178
19 34 762
5 10 519
1 13 985
27 37 317
22 45 549
21 57 141
18 66 171
4 29 416
61 62 806
20 32 339
52 56 694
17 25 982
9 19 664
28 42 660
17 33 310
55 63 365
33 54 746
2 44 821
9 29 575
34 52 655
5 36 888
0 23 360
13 22 538
42 43 130
9 45 460
7 38 80
32 56 78
50 64 551
28 34 738
3 32 332
0 40 905
6 43 312
17 22 661
18 23 845
7 9 224
23 34 121
24 54 74
17 63 424
12 14 66
8 60 323
17 43 842
1 28 248
34 55 550
30 49 409
10 11 881
4 14 842
21 30 917
5 23 646
13 15 195
7 12 142
1 40 312
0 34 450
16 27 441
6 35 947
5 26 215
15 59 165
0 27 199
23 53 501
21 27 546
64 66 207
7 21 430
21 50 256
3 12 563
13 41 751
6 65 364
11 20 285
39 62 767
15 37 488
4 5 627
30 42 661
23 32 33
1 52 238
8 12 180
7 33 976
23 26 854
3 34 32
45 46 354
0 13 273
37 41 57
31 54 593
0 1 48
24 26 304
8 51 817
4 22 657
16 64 719
18 28 214
10 27 53
0 26 38
18 50 18
41 50 260
21 66 457
27 60 312
11 45 891
38 54 997
7 44 483
10 17 151
14 26 883
0 12 830
12 64 383
9 10 891
39 57 77
17 35 203
4 38 250
19 22 456
2 4 721
2 46 390
24 34 188
32 43 712
22 62 471
15 30 559
15 26 818
30 34 396
14 22 883
8 50 377
9 28 381
20 37 521
47 65 688
6 42 522
18 34 187
20 43 722
48 57 258
7 61 668
51 66 675
45 48 128
1 15 241
5 56 830
41 49 307
29 34 280
11 41 865
49 57 458
25 40 793
2 20 702
1 2 265
24 65 737
36 53 15
14 34 424
0 20 403
15 24 203
26 65 861
1 66 392
1 27 717
38 50 288
46 55 750
2 9 996
19 54 83
16 39 430
38 49 212
5 34 677
17 52 685
20 42 82
22 24 243
12 16 47
38 51 875
24 59 797
2 31 310
26 29 34
21 25 796
31 40 208
26 44 373
22 40 482
20 53 924
28 40 975
39 66 313
11 33 835
11 51 994
8 31 600
34 45 273
36 40 541
30 58 676
21 33 189
30 62 323
27 35 262
10 25 730
27 28 423
2 52 491
3 8 768
12 26 83
20 54 79
29 31 906
6 59 896
5 15 389
16 31 779
22 46 703
28 62 701
29 53 899
35 50 167
16 34 37
40 52 728
41 42 647
14 24 768
19 57 496
6 24 279
20 25 804
4 24 225
6 60 348
7 65 996
3 61 950
19 33 604
9 16 216
30 46 828
9 32 802
2 33 836
31 48 632
57 59 930
1 41 552
9 61 826
18 42 911
32 64 926
10 55 794
36 57 469
33 47 693
8 56 802
27 58 599
39 64 279
24 61 446
18 40 499
35 51 933
15 33 801
9 24 884
5 30 145
1 34 411
19 49 462
33 45 293
24 27 45
16 43 493
8 34 392
27 32 275
22 31 838
20 64 352
29 32 756
10 61 456
17 40 89
36 62 663
1 23 988
1 11 569
42 62 558
15 41 243
31 34 163
24 66 647
12 32 786
11 48 309
17 30 473
15 22 218
41 45 454
4 28 272
27 53 559
4 17 830
30 52 306
23 59 120
3 13 959
47 56 707
14 21 88
15 32 485
10 50 966
39 40 538
13 17 620
19 25 126
24 40 173
31 65 936
37 66 964
2 36 422
8 27 773
17 19 424
7 40 452
4 23 139
5 33 539
15 20 5
39 51 841
29 65 596
2 25 467
15 56 609
10 44 596
23 36 95
15 51 870
53 62 690
7 47 929
10 22 373
30 43 554
5 44 462
28 30 445
11 15 680
20 65 564
29 37 795
11 61 992
38 47 791
3 17 488
45 53 761
17 20 790
3 63 294
38 61 320
16 20 493
25 26 242
13 24 179
14 42 529
19 30 73
5 38 335
8 11 866
10 16 454
3 25 589
3 19 36
26 32 956
15 54 941
7 10 211
28 37 965
48 55 717
20 48 29
37 48 271
39 49 356
28 46 548
0 35 688
13 19 851
13 16 476
12 57 297
8 65 808
32 40 849
34 44 567
3 28 69
4 35 246
10 43 508
30 33 415
29 51 77
8 33 634
17 18 340
23 47 321
38 42 279
48 60 559
22 48 44
43 50 798
21 39 891
11 12 919
8 29 119
35 42 769
10 56 563
14 28 865
35 49 459
37 42 598
13 34 207
22 33 129
8 32 628
39 54 228
30 36 494
42 49 172
13 35 897
40 48 605
56 59 234
38 46 256
2 53 772
9 21 855
12 40 581
25 39 737
25 64 595
50 55 448
5 31 318
0 29 101
19 66 343
29 45 978
0 5 169
9 40 786
11 52 747
8 36 487
32 34 54
0 22 246
6 48 892
0 43 619
2 61 861
2 30 422
3 15 851
41 61 733
44 59 547
45 51 614
23 29 484
12 49 221
0 50 770
29 39 744
27 40 432
0 30 790
34 41 115
14 37 760
8 43 503
1 7 441
17 42 725
12 13 557
15 66 127
1 4 217
52 66 620
14 19 151
3 48 540
2 62 477
1 42 474
36 37 738
3 22 1000
0 8 998
40 61 659
6 17 416
31 32 55
20 34 154
3 27 539
19 45 751
27 36 431
4 34 348
11 26 880
3 45 133
11 40 311
9 66 126
4 49 729
8 28 125
35 39 330
6 19 163
22 60 978
1 32 165
7 16 816
25 31 535
1 22 502
23 63 858
3 24 663
1 60 487
4 44 375
7 20 154
14 25 815
24 43 341
11 53 706
1 12 797
6 47 134
23 51 758
3 5 233
49 51 60
6 7 955
0 16 412
7 17 424
24 57 780
34 49 399
32 59 54
6 20 648
29 35 23
10 28 64
4 8 926
43 59 343
23 33 505
3 53 886
2 54 420
22 64 991
15 21 248
6 29 345
30 37 64
18 62 544
19 43 257
13 14 408
0 41 434
10 31 233
36 44 985
8 16 434
32 39 179
2 17 452
42 65 253
58 65 191
3 21 447
14 23 485
44 56 939
28 41 724
25 54 928
33 41 727
16 22 199
4 10 51
2 21 968
4 12 803
15 29 137
15 28 117
9 37 155
28 43 273
13 33 703
5 21 369
17 39 122
37 44 878
2 29 650
34 42 165
6 9 552
4 55 942
32 36 837
16 21 843
25 43 370
29 50 121
14 35 717
2 63 474
19 20 326
6 36 538
6 39 709
38 45 700
41 58 238
21 59 217
54 66 165
7 8 549
50 59 849
33 59 788
15 23 249
1 31 11
49 58 717
9 18 808
1 43 95
13 43 798
6 11 889
41 63 396
4 20 922
27 56 939
28 53 474
25 30 738
32 41 258
38 43 897
3 11 389
26 49 506
35 46 626
37 55 432
0 2 755
3 60 208
18 29 300
2 15 735
2 60 863
14 30 280
7 50 318
6 61 533
42 58 284
13 56 340
6 57 820
6 66 656
0 18 655
28 44 578
16 63 402
12 39 933
5 61 518
36 39 240
56 61 648
9 27 590
41 59 331
35 48 337
27 43 809
26 66 834
16 44 225
1 58 763
20 26 703
25 32 484
6 27 423
25 65 834
43 53 487
7 56 257
28 33 78
22 23 277
22 41 631
3 42 835
16 29 819
13 58 762
2 6 712
45 50 575
7 28 140
9 11 127
19 40 380
53 56 921
14 40 119
37 50 397
9 25 863
5 13 886
9 59 811
35 66 781
6 15 354
6 55 54
1 5 85
15 18 412
53 59 655
12 23 203
26 30 863
10 14 308
1 26 433
41 60 308
7 51 659
12 34 766
0 6 835
22 32 573
34 54 946
33 35 141
8 37 126
5 37 483
7 31 148
29 61 87
27 33 409
7 19 965
21 23 497
48 63 243
3 4 225
1 3 310
15 34 49
19 27 346
16 53 713
9 47 494
31 49 105
24 39 149
19 42 749
31 50 799
35 55 815
7 30 510
37 56 172
45 56 631
5 20 178
23 61 675
7 27 801
18 44 179
16 59 784
30 45 106
18 45 578
28 51 794
38 66 128
18 20 191
12 18 270
12 27 978
2 16 420
15 25 177
12 29 252
44 61 820
26 36 747
11 31 470
15 45 414
27 34 92
35 40 479
13 66 118
1 18 271
18 58 691
56 62 882
7 42 478
17 66 757
25 28 383
12 44 255
6 22 129
26 38 855
37 43 900
5 55 809
0 15 874
47 51 566
11 43 368
10 57 740
5 12 341
9 26 171
49 56 642
16 36 919
27 39 955
11 18 878
13 30 28
9 41 1000
30 50 316
25 41 234
36 58 75
23 38 410
0 7 502
14 27 991
2 24 113
55 61 214
24 33 101
21 28 868
2 10 356
12 59 691
21 49 42
44 55 348
28 50 467
6 26 128
11 60 816
46 47 954
3 9 638
31 39 152
4 18 11
10 18 234
0 28 44
31 66 452
32 50 375
23 48 955
16 42 648
9 14 130
61 63 668
4 19 323
39 60 327
13 29 124
13 45 883
9 49 7
20 28 743
15 17 115
54 65 221
6 37 617
16 49 988
46 65 74
18 33 423
8 48 797
40 44 961
8 24 657
4 27 863
5 54 315
43 45 862
22 47 902
24 42 925
37 46 271
25 33 570
11 23 833
38 41 170
1 19 438
44 52 706
12 15 438
4 16 369
20 50 54
3 33 448
22 29 111
37 39 136
8 45 630
0 60 484
35 53 378
38 39 681
10 53 957
32 33 571
48 61 535
7 52 118
13 65 848
2 38 564
13 39 849
3 44 719
10 62 650
5 43 230
8 19 966
11 55 981
8 35 656
7 11 570
56 57 743
1 16 13
10 12 290
21 32 915
2 19 95
25 57 996
9 34 268
9 31 810
21 40 787
33 58 789
4 31 559
8 14 725
30 32 881
41 47 526
4 15 3
5 50 743
12 54 707
6 18 104
27 55 902
10 15 785
19 52 136
29 44 963
16 38 81
3 38 438
10 45 102
60 63 775
16 25 967
8 13 562
37 49 880
19 47 119
27 63 185
17 34 994
19 46 127
2 37 657
39 45 148
1 6 956
29 62 416
20 21 427
21 29 930
13 50 157
8 9 622
5 65 631
15 16 381
52 57 707
7 29 39
46 49 35
13 25 808
51 62 308
16 35 140
17 56 673
11 37 649
21 46 814
26 48 89
12 19 379
51 167
4 12 14
16 38 143
0 15 155
14 41 21
3 39 49
3 8 98
17 40 139
12 21 75
21 47 126
45 48 57
36 38 5
48 49 88
1 17 32
8 11 145
6 9 73
0 24 44
23 30 46
2 9 34
6 17 50
15 24 38
2 3 8
1 27 24
20 32 39
10 16 50
8 49 156
11 30 59
27 33 43
18 37 52
4 13 39
11 34 109
15 39 6
9 18 113
18 25 125
1 46 167
11 49 126
10 17 93
15 33 153
6 27 87
15 34 101
38 44 38
8 18 46
42 49 114
14 20 109
7 10 146
14 43 132
0 27 80
10 47 100
9 21 86
0 7 132
6 30 133
40 42 85
20 22 7
9 26 1
3 48 19
6 48 73
14 16 26
3 5 56
15 30 61
0 4 54
28 46 1
25 47 4
21 38 87
18 38 126
6 7 100
1 7 131
41 47 78
35 41 96
2 18 18
7 38 61
16 35 33
19 49 46
4 49 23
9 42 117
4 21 84
3 9 151
16 28 154
1 33 27
11 23 82
31 33 84
43 47 156
22 37 160
16 48 139
43 44 168
29 48 57
13 23 66
11 15 131
5 35 32
6 25 20
8 13 114
15 19 131
2 48 106
24 41 5
17 29 37
2 40 96
31 43 156
6 44 87
0 50 76
23 50 122
0 32 165
14 46 134
2 4 40
0 22 25
1 4 85
24 49 38
26 33 65
4 7 143
0 3 127
19 44 84
17 27 69
8 27 104
11 43 88
10 49 147
1 3 70
16 50 151
37 45 98
0 1 92
3 15 136
26 49 74
37 42 71
22 26 73
6 20 8
8 26 20
24 28 3
40 47 130
9 20 31
7 9 75
4 15 151
0 9 51
20 26 70
9 31 37
30 42 110
31 48 62
41 44 55
40 48 48
0 6 52
39 46 16
4 11 109
2 12 136
4 5 161
18 43 144
23 31 13
1 5 104
41 43 99
42 46 103
14 34 38
7 28 159
29 49 153
1 42 109
11 20 124
1 47 116
16 21 144
8 28 57
13 44 159
11 18 48
4 14 86
41 48 114
43 49 6
0 17 106
13 46 137
12 42 52
7 19 107
13 29 63
0 11 38
8 12 120
0 18 13
2 5 96
2 13 86
37 110
2 10 54
1 3 1
7 24 57
27 36 5
8 15 54
20 27 67
1 20 35
14 18 18
4 35 37
9 27 101
16 26 104
5 8 100
16 28 63
26 27 101
32 36 90
7 30 71
9 11 9
25 34 79
22 28 61
5 22 12
12 27 30
6 36 50
13 20 98
18 19 59
15 33 73
0 2 38
13 14 94
32 34 111
12 35 20
8 11 7
0 3 21
13 34 54
12 13 73
8 18 5
2 13 105
22 32 57
3 22 56
13 31 93
7 9 53
0 1 74
27 32 52
16 35 92
3 13 92
6 21 4
23 30 88
1 12 2
5 34 86
16 23 90
18 30 106
3 5 86
14 29 8
8 9 97
1 2 108
6 7 62
2 15 9
8 32 105
2 3 43
15 21 76
0 36 45
15 17 80
0 24 52
22 27 10
15 27 60
3 20 45
8 19 44
2 7 101
7 10 99
8 12 92
18 23 107
5 31 1
2 11 10
1 22 71
4 32 86
14 19 59
0 31 99
5 11 97
11 29 65
9 22 45
7 25 39
4 20 110
20 22 49
5 12 83
8 20 59
15 16 38
10 26 74
23 24 104
2 18 100
13 17 31
17 18 48
4 26 27
5 32 38
4 11 26
26 28 11
6 13 74
3 10 84
3 19 11
16 19 8
6 27 90
4 34 13
12 15 46
6 11 31
10 11 88
2 4 87
7 18 47
5 28 99
14 36 67
23 34 80
30 32 103
23 32 98
27 30 30
0 0
